genesymbols	EXM	Prim
E2F8	146.640990176302	1093.91726592422
EAF1	482.167866172016	2108.71770696524
ECE1	4785.18958313933	485.965264261373
EDEM1	321.04159344976	1403.03517765431
EEPD1	58.8356194587671	1925.52136521537
EFHD1	84.9291373159616	930.083613170862
EFNA1	2023.26991526545	361.769734693333
EFNB1	1637.08085576612	83.5794049889914
EFNB2	1927.92355400305	137.598379332893
EGLN1	1241.26523639158	70.8089556052206
EHD1	491.525014297439	3439.69706940948
EIF2B2	178.470183189607	1862.62866519424
ELL	277.92041937192	928.344938752814
EMILIN2	3958.62409679624	168.562122433136
EMP2	1594.60246453233	86.2060437314643
ENGASE	90.168928805709	1208.79317439903
ENPEP	4289.4747651826	172.604736364244
EPB41L3	818.208215007167	4017.68457477241
EPB41L4B	3376.62012978889	410.735523352676
EPHB4	1141.46893454774	3784.98129021118
EPPK1	109.202782422553	1011.94204203817
EPSTI1	850.584236604526	20.9729245544046
ERBB3	412.106271304882	1067.08635924483
ERN1	108.810698433875	775.134610531427
ERVFRD.1	41.199172274753	946.081614286552
ERVV.1	192.437155702435	8979.53355846042
ERVV.2	410.151655854735	11552.5620249216
ESRRG	54.2553158197957	1203.60491432668
ETV4	22.908912793224	1086.58522244702
EYA1	713.526661634838	17.7715047463907
FADS3	45.5164046429923	1528.75925356914
FAM102A	540.107187301835	3019.45309285494
FAM110B	776.990288451432	22.0068267728148
FAM114A1	1040.1929587361	55.9806664077801
FAM131A	128.126271270985	521.262703453563
FAM214A	140.507558770689	1349.38512674004
FAM49A	120.03508096322	2795.10243375086
FAR2	27.2011910997179	770.442347275242
FARP1	2444.34103137355	23.7153393380977
FAT2	901.365265885726	49.151655556619
FBN2	1564.82934084014	132.18615638718
FBRS	673.212015262507	2364.27555599775
FBXO17	932.230461205339	21.9191269379684
FDX1	109.807730223208	725.595047211323
FGD5	1252.00520078172	37.2085698459467
FGD6	155.749528182819	601.450740303993
FHDC1	155.872447469931	7417.89650533074
FHOD3	844.798757499156	5.81495859416383
FIBCD1	6.96725163506531	562.080749972626
FIGNL2	934.989079592876	52.5811740334387
FIP1L1	356.786418480458	1334.74383216137
FLT1	1536.98740581477	93.7729674948039
FN1	13146.9944188188	594.844273357024
FOS	6018.78156265227	696.505671633558
FOSB	350.771920204041	3060.8001247438
FOSL2	1503.88083502163	329.289409085817
FOXO1	777.601134587769	67.7557364802908
FOXO3	1257.44117331545	99.8324595538165
FOXO6	138.259093596863	6545.16945817512
FRAS1	3129.67654833062	93.8847729517177
FST	3141.11916362935	196.018650993167
FURIN	1633.40099915177	6255.80640516096
FUT11	784.272631821243	79.7646307452665
FZD7	702.479677062468	66.4476153136934
GAB2	918.424610809626	3848.2653190711
GABRP	12234.4633155295	259.688186748695
GADD45G	761.499654399586	6231.47893594993
GALNT2	1167.18980749604	4895.71450858769
GAS2L3	91.9976978258381	776.873524202175
GAS7	1019.91407381334	31.4946941505116
GCM1	111.077048067651	2368.17979766673
GDE1	520.861296180013	2013.92194927389
GDF15	462.676498762349	8770.94294171097
GDPD5	98.5466442753026	810.08103977401
GLA	298.414356109713	1476.93869899116
GLB1	6331.95024743991	552.659054183415
GLI3	1056.07745522076	177.367474675049
GMPPB	211.48509512489	1431.22406795743
GPC1	1443.46746291176	6230.43144110562
GPR157	233.27126144937	1202.09036374966
GPR32	11.0929928400653	579.800828215639
GPRC5A	1110.19368080615	12.6526656512988
GRAMD2B	121.837623827509	1398.10959777809
GREM2	160.901604381467	1725.55586704614
GSE1	605.765820794845	4280.46267581971
GSK3B	572.841616605602	1732.68874933433
GSN	4919.99266896177	198.326899755071
GUCY1A1	934.086809351069	13.2568699193106
HAND1	10317.5729630233	159.842238641873
HAP1	44.1508569183043	1210.86421553665
HAPLN1	1485.74605560093	85.2170534176635
HCN4	477.506892004594	8.31261362325291
HDAC5	394.730454644505	2323.16565830586
HEBP1	1458.95724667943	49.7010918161792
HERPUD1	1407.09659598678	4590.26923831785
HES2	11.5924914090882	878.022845150255
HEXIM1	897.335987979913	6324.24398432239
HEY1	3770.72810917828	407.44604970968
HILPDA	2962.38048627619	551.606969243454
HIST3H2A	284.494133023645	1434.53587230923
HK2	2528.60643542883	182.37767357782
