genesymbols	EXM	Prim	CTB
MAB21L3	17.4129009566052	13.3265270896999	195.182368918715
MACC1	49.5937099503085	26.5249544225502	1185.67766380365
MAFB	1305.31806845978	38.4571350610232	503.207697229825
MAFF	279.669785321294	2502.93450056712	1544.66719665246
MAFK	401.436865268524	4660.18447834249	1181.42055807213
MAGI1	131.562907463594	1309.21487924827	1033.05637260613
MAN1A1	643.673952272793	13.792053478438	137.69135043991
MAN1A2	274.938005660592	2996.50939325813	1282.05469052148
MANBA	3423.23459893395	142.59800411494	1061.15965480275
MAP7	637.880031908818	2913.76717347503	1399.35952318961
MAPK4	1236.33147662821	120.824829402442	769.260311419478
MAST4	77.2161229863939	668.178076641562	575.69087356968
MCF2L	35.4249731441502	29.0791231042522	237.038363412704
MCM10	67.9340062222444	29.9818620032197	380.154895935283
MED10	435.97436746468	1310.3008585996	1144.08351898897
MED12L	518.563640962407	1174.79445386507	6286.07738132764
MED13	218.257539396826	1735.2626255794	457.017669857904
MEIS1	1616.62463663534	26.1978149934558	188.499131829262
MEIS2	1025.41155431429	23.2393720852446	305.257298985423
METRNL	576.204826881111	3921.23588428819	2419.57592495302
MEX3D	837.237684839788	3811.22398395953	3006.81963884821
MFGE8	2095.92541602029	545.332749223239	584.061784364397
MFSD13A	57.0107798608095	956.873143929434	275.208130238202
MGAT4A	47.1644747648198	784.772698727806	678.816093576085
MICAL3	1301.69559665725	36.9245928195919	899.9504891608
MICALL2	65.3314027480088	1592.3373328882	128.161444907647
MIDN	1136.15266705457	7689.97014152784	1784.87076106961
MKI67	497.615549909183	74.3413648298905	2201.46171004237
MKNK2	618.39909126682	2626.7100489737	1501.58288727501
MLLT1	973.933739344915	4118.83767324096	4204.15550559086
MMP2	28819.1130211765	3917.24446034102	6401.98477573085
MRAP2	5.22204504087482	14.3298043352449	286.789385502135
MRC2	654.662150176493	10.2098729439546	39.3027918306093
MREG	45.6415008331455	564.440578724802	216.712222049143
MRGPRX1	110.63665663345	2982.23113154019	861.500715645528
MTUS2	1218.25541321691	13.8658031932665	34.3068300181341
MUC15	57.5414976153947	1832.23598580673	329.415667229281
MUC3A	534.155145517438	172.955162304372	4663.48116269113
MXD1	169.603854212222	2473.63837810495	854.126765585663
MXRA5	1189.97298677042	15.000533525604	44.9348569462909
MYL7	1264.82621400425	8.77555346874708	17.944538825713
MYLK	683.750153828239	23.8612646079768	172.104170928589
MYO10	455.533069302013	3306.68272625096	1067.5821898873
MYO18A	816.394415992426	200.728091107522	3196.92408856291
MYO1E	175.753193733006	114.752760362573	1079.69847180308
MYO6	791.005730531245	2328.12490884357	1596.54308415751
MYRF	735.507814725228	13.5294991233568	16.677533953765
NAALAD2	72.3322718971679	36.1311166506027	1218.32728642158
NATD1	297.181222930749	2125.19293962051	441.324552465476
NAV1	1067.92261153714	121.260087503095	997.118247659218
NCAPG	268.90819597432	36.6207607434738	1558.23528014198
NCOA3	778.593130912773	3925.29944905593	1420.60359810366
NCOA4	556.158570936131	2798.92192339585	3652.7314580127
NDC80	172.561854243992	19.9715256512375	806.71845137732
NDRG1	3747.76562453797	465.889942160551	2229.3705478849
NECTIN3	484.157985596302	5937.92632510919	1641.43028417709
NEDD4L	429.190113503423	1780.76873059014	1263.85311394868
NEIL1	131.351233374675	19.6922835490583	787.964958703337
NES	1339.12625046777	14.0695216253681	20.0499158353793
NEURL1	149.712249240369	5791.84806469501	2267.69342471356
NFKBIA	696.874520712434	2155.34556191673	2145.43857747247
NHSL1	121.334032757562	739.287537215548	354.671263686536
NIBAN2	526.587828838275	3097.77207088408	1297.34870322273
NID2	1586.62653390369	43.5040783368984	298.716396625218
NKD2	65.1190865304353	100.882359606588	843.700255844101
NNAT	2742.02362470893	22.9042767111221	380.380400790974
NOG	4353.12941387932	41.7883183597874	1233.67869968673
NOL4L	842.449859392134	34.3965310196695	290.174676971332
NOTCH1	263.106194888734	2195.53476833737	853.637050760562
NOTCH3	774.557369616722	549.663805261814	3565.54552484874
NPB	29.8248192103765	961.463988434306	125.435762076548
NR5A1	14.8173152915825	15.9308193003925	149.958103274539
NRBF2	318.737356201036	1211.10519395454	581.444483125637
NRK	90.0728561222123	44.954149720075	1916.30081391321
NRN1	11.1728565382773	2.68109963243196	248.225378948666
NRP2	88.3245041444089	56.8385992885745	1473.73388059155
NSF	199.012278362709	1361.24120421528	672.874135293085
